Trail Name	Route Type	Trail Difficulty	Rating	Review Count	Length (Meters)	Elevation Gain (Meters)	Latitude	Longitude	City	State/Region	State/Region Name	Zip Code	Country	Country Name	Parking Area Name
LaPlatte River Marsh Natural Area Trail	Out & Back	Easy	4.0	64	4023.35009765625	94.79280090332031	44.39832	-73.23778	Shelburne	Vermont	Vermont		United States of America	United States of America	Shelburne Bay Park
Rock Point Trail Loop	Loop	Easy	4.5	171	1931.2080078125	37.79520034790039	44.49377	-73.24538	Burlington	Vermont	Vermont		United States of America	United States of America	Rock Point
LaPlatte Nature Park Trail	Loop	Easy	4.0	47	7242.02978515625	112.7760009765625	44.37237	-73.22288	Shelburne	Vermont	Vermont		United States of America	United States of America	
Overlook via Five Tree Hill Trail	Out & Back	Easy	4.5	215	3701.48193359375	86.86799621582031	44.41508	-73.10132	Williston	Vermont	Vermont		United States of America	United States of America	Five Tree Hill Country Park
Shelburne Bay Loop	Loop	Easy	4.5	322	4023.35009765625	75.89520263671875	44.4001	-73.23728	Shelburne	Vermont	Vermont		United States of America	United States of America	Shelburne Bay Park
Gilbrook Loop	Loop	Easy	4.5	61	1448.406005859375	7.924799919128418	44.49795	-73.17285	Winooski	Vermont	Vermont		United States of America	United States of America	Gilbrook Natural Area
Garvey Woods	Out & Back	Easy	3.0	1	965.60400390625	0.9143999814987183	44.46475	-73.16096	South Burlington	Vermont	Vermont		United States of America	United States of America	
Airport Park Loop	Loop	Easy	4.0	7	1931.2080078125	2.7432000637054443	44.54419	-73.27907	Colchester	Vermont	Vermont		United States of America	United States of America	Airport Park
Wheeler Loop and South Burlington Community Gardens	Loop	Easy	4.5	61	2735.8779296875	46.93920135498047	44.44326	-73.17553	South Burlington	Vermont	Vermont		United States of America	United States of America	Wheeler Nature Park
Whale Tail Trail	Loop	Easy	3.5	80	2092.14208984375	12.801600456237793	44.44794	-73.14227	South Burlington	Vermont	Vermont		United States of America	United States of America	
Blueberry Loop	Loop	Easy	4.0	42	3701.48193359375	13.715999603271484	44.51016	-73.17399	Colchester	Vermont	Vermont		United States of America	United States of America	Sunny Hollow Natural Area
Shelburne Farms to Lone Tree Hill Loop [PRIVATE PROPERTY]	Loop	Moderate	4.5	104	6920.162109375	108.8135986328125	44.39581	-73.24737	Shelburne	Vermont	Vermont		United States of America	United States of America	
Burns Trail and Ledges Trail	Loop	Easy	4.5	113	3701.48193359375	94.79280090332031	44.58959	-73.19019	Colchester	Vermont	Vermont		United States of America	United States of America	Niquette Bay State Park
Niquette Bay State Park	Loop	Easy	4.5	350	5149.88818359375	158.80079650878906	44.58955	-73.18983	Colchester	Vermont	Vermont		United States of America	United States of America	
Burlington Bike Path	Loop	Easy	4.5	64	3862.416015625	11.887200355529785	44.4735	-73.22014	Burlington	Vermont	Vermont		United States of America	United States of America	Perkins Pier Park
Szymanski Trails	Out & Back	Easy	4.0	23	2735.8779296875	26.822399139404297	44.43755	-73.19692	South Burlington	Vermont	Vermont		United States of America	United States of America	Szymanski Park
Red Rocks Park Trail	Out & Back	Moderate	4.0	37	1770.2740478515625	12.801600456237793	44.44508	-73.22031	Burlington	Vermont	Vermont		United States of America	United States of America	Red Rocks Park
Casavant Nature Trail	Loop	Easy	3.5	50	3218.679931640625	26.822399139404297	44.48961	-73.18648	Winooski	Vermont	Vermont		United States of America	United States of America	
Nowland Farm Preserve Trail	Loop	Easy	3.5	15	2092.14208984375	20.72640037536621	44.42692	-73.19087	South Burlington	Vermont	Vermont		United States of America	United States of America	
Colchester Bike Path	Out & Back	Easy	4.5	15	4345.2177734375	48.768001556396484	44.5564	-73.18024	Colchester	Vermont	Vermont		United States of America	United States of America	
Sea Caves at Arthur Park	Out & Back	Easy	4.0	82	965.60400390625	33.832801818847656	44.49647	-73.23175	Burlington	Vermont	Vermont		United States of America	United States of America	Arthur Park
Spear Street and I-189 Recreation Path	Out & Back	Easy	4.0	16	7402.9638671875	65.83679962158203	44.4698	-73.19339	Burlington	Vermont	Vermont		United States of America	United States of America	
Indian Brook Outer Loop [PRIVATE PROPERTY]	Loop	Easy	4.5	123	5793.6240234375	166.72560119628906	44.53016	-73.09716	Essex	Vermont	Vermont		United States of America	United States of America	Indian Brook Park
Sucker Brook Hollow and Five Tree Hill Trail	Out & Back	Easy	4.5	161	6759.22802734375	233.78160095214844	44.41123	-73.12423	Williston	Vermont	Vermont		United States of America	United States of America	Five Tree Hill Country Park
Blueberry - Brook Crossing - Triborough Bridges - Teardrop Loop	Loop	Easy	4.5	222	4184.2841796875	86.86799621582031	44.51014	-73.17402	Colchester	Vermont	Vermont		United States of America	United States of America	Sunny Hollow Natural Area
LaPlatte River Marsh Trail	Loop	Easy	4.0	20	2414.010009765625	5.791200160980225	44.39877	-73.23544	Shelburne	Vermont	Vermont		United States of America	United States of America	LaPlatte River Marsh Natural Area
Colchester Causeway Trail	Out & Back	Easy	4.5	321	17541.806640625	33.832801818847656	44.54364	-73.27915	Colchester	Vermont	Vermont		United States of America	United States of America	
Waterfront Park to Island Line Trail	Out & Back	Easy	4.5	266	17219.9375	40.84320068359375	44.47702	-73.22021	Burlington	Vermont	Vermont		United States of America	United States of America	Waterfront Park
Midland Path	Out & Back	Easy	3.0	4	6276.42578125	45.720001220703125	44.41796	-73.19307	Shelburne	Vermont	Vermont		United States of America	United States of America	
Centennial Woods Loop	Loop	Easy	4.0	42	6115.4921875	127.71119689941406	44.47225	-73.18719	South Burlington	Vermont	Vermont		United States of America	United States of America	Centennial Woods Natural Area
Woodside Loop	Loop	Easy	3.5	14	1770.2740478515625	9.753600120544434	44.50147	-73.14541	Essex Junction	Vermont	Vermont		United States of America	United States of America	Woodside Natural Area
East Woods Natural Area Loop	Loop	Moderate	4.5	85	1609.3399658203125	39.92879867553711	44.44545	-73.19659	South Burlington	VT	Vermont		US	United States of America	East Woods Natural Area
